VersionID,best_epoch,val_loss,batch_size,latent_dim,n_layers
0,46,0.002880566663760744,1024,2,1
1,70,0.00024403188702105805,1024,4,1
10,198,1.1149184657187467e-09,1024,22,1
11,198,6.042636986595465e-10,1024,24,1
12,197,1.5098781155053132e-09,1024,26,1
13,195,5.543223654603102e-10,1024,28,1
14,199,0.0005587111279321659,1024,2,2
15,199,3.91788655073014e-05,1024,4,2
16,199,1.4550252289085164e-06,1024,6,2
17,199,1.0123774040111852e-07,1024,8,2
18,197,2.3561836894621386e-08,1024,10,2
19,196,2.3130577746394295e-09,1024,12,2
2,93,1.5404973043597398e-05,1024,6,1
20,199,2.854371242160888e-09,1024,14,2
21,199,5.4045031176725565e-09,1024,16,2
22,249,2.599376049915966e-09,1024,18,2
23,249,1.900913327829067e-09,1024,20,2
24,248,2.906254969749559e-09,1024,22,2
25,249,1.2534504131860861e-09,1024,24,2
26,247,1.6458120064295435e-09,1024,26,2
27,247,1.7189012179769317e-09,1024,28,2
28,247,0.00028959616985901036,1024,2,3
29,237,1.0966320688499701e-05,1024,4,3
3,199,4.865272383231565e-06,1024,8,1
30,242,1.4807121909803615e-06,1024,6,3
31,248,1.74835493562098e-07,1024,8,3
32,248,4.990211572618402e-09,1024,10,3
33,249,8.903765219318875e-09,1024,12,3
34,249,5.815621237656898e-09,1024,14,3
35,249,7.431170498739177e-09,1024,16,3
36,248,1.4302605626687915e-09,1024,18,3
37,249,1.5953011174067192e-09,1024,20,3
38,249,4.708486017583804e-09,1024,22,3
39,249,4.724777786961338e-09,1024,24,3
4,198,2.8471952392275795e-07,1024,10,1
40,249,3.727963274158952e-09,1024,26,3
41,249,4.378566440341352e-09,1024,28,3
42,21,0.0028807384881217924,256,2,1
43,27,0.00024409687910836834,256,4,1
44,47,1.5406347951502173e-05,256,6,1
45,90,9.143727293656789e-07,256,8,1
46,103,4.1390404877123785e-08,256,10,1
47,249,2.0142782687133923e-09,256,12,1
48,244,5.296465426336233e-10,256,14,1
49,214,7.527908284956675e-10,256,16,1
5,199,1.4204926877781231e-08,1024,12,1
50,246,4.221604702807545e-10,256,18,1
51,248,4.3919352205160016e-10,256,20,1
52,249,3.2165724478202486e-10,256,22,1
53,249,5.696329091739763e-10,256,24,1
54,247,4.669688932069438e-10,256,26,1
55,178,4.5235936123628984e-10,256,28,1
56,249,0.0004883174862812759,256,2,2
57,92,2.19086720422904e-05,256,4,2
6,199,1.8897934408887187e-09,1024,14,1
7,199,1.3214304584617251e-09,1024,16,1
8,198,7.673752626786946e-10,1024,18,1
9,196,6.938650197512211e-10,1024,20,1
